"appid","time0","grade","reviews"
"348683",1429574400,100,3
"348684",1428364800,100,1
"348685",1428364800,100,1
"348686",1427155200,0,1
"348687",1430784000,100,4
"348690",1423785600,100,2
"348700",1426636800,53,71
"348730",1429833600,66,15
"348750",1424736000,100,3
"348760",1424476800,85,7
"348790",1423612800,93,16
"348860",1424390400,100,5
"348870",1423612800,80,15
"348920",1423785600,100,2
"348960",1424649600,87,8
"348970",1424908800,100,1
"348980",1424044800,50,6
"348990",1426809600,90,20
"276810",1416182400,82,700
"361060",1428278400,0,1
"361110",1429488000,100,4
"361170",1428019200,23,13
"361171",1428019200,100,3
"361172",1428019200,100,2
"361173",1428019200,0,1
"361180",1427932800,100,2
"361181",1427932800,40,10
"361182",1427932800,57,7
"361183",1427932800,0,1
"361190",1429574400,68,29
"361310",1427932800,100,13
"361312",1428019200,100,4
"361313",1428019200,100,2
"361314",1427932800,100,3
"361320",1429228800,50,12
"361330",1429574400,86,15
"361350",1431302400,100,2
"361380",1428537600,100,10
"361430",1429660800,77,9
"361440",1428364800,100,2
"361470",1430438400,50,2
"361620",1432166400,80,5
"361630",1428624000,84,757
"361660",1428364800,15,26
"361670",1430179200,78,52
"361690",1430179200,77,40
"361700",1428364800,87,204
"361820",1430611200,95,23
"361830",1429056000,93,33
"361970",1430956800,83,12
"361990",1428624000,94,141
"349000",1431475200,83,6
"349060",1424304000,75,4
"349080",1423180800,100,1
"349190",1430265600,100,14
"349210",1423612800,90,21
"349240",1424995200,100,2
"349260",1424131200,80,6
"349280",1432166400,75,4
"349300",1428019200,96,26
"349310",1423785600,95,159
"349320",1427760000,85,20
"349330",1424390400,100,1
"349350",1427932800,83,24
"349370",1423612800,100,1
"349440",1428364800,54,44
"349450",1423440000,68,22
"349460",1429488000,83,6
"349480",1424908800,67,588
"349500",1424822400,86,15
"349530",1424822400,70,20
"349540",1424131200,47,17
"349550",1424822400,63,36
"349560",1424131200,0,4
"349670",1427846400,84,19
"349690",1425340800,100,12
"349740",1425859200,87,8
"349750",1424304000,35,14
"349770",1429142400,57,7
"349780",1424390400,60,5
"349830",1430352000,77,244
"277680",1418256000,90,171
"277730",1421884800,35,17
"277739",1417737600,72,37
"277740",1415232000,95,42
"277742",1421625600,59,22
"277749",1429660800,100,2
"277752",1418860800,61,26
"277753",1418169600,100,5
"277754",1418342400,90,21
"277755",1422576000,81,16
"277756",1424908800,100,3
"277757",1424908800,85,7
"277758",1426118400,100,8
"277759",1423180800,88,9
"349930",1424995200,100,1
"277760",1423699200,94,19
"349931",1424995200,100,2
"277762",1425513600,90,10
"277763",1427328000,92,14
"277764",1430265600,80,5
"349935",1424995200,100,2
"277765",1427932800,81,11
"349937",1424995200,100,1
"277767",1424995200,76,13
"277768",1426723200,83,24
"277769",1429142400,100,12
"349940",1424995200,0,1
"277770",1430870400,75,4
"277771",1431561600,100,8
"349950",1423699200,37,32
"349980",1430352000,100,1
"277821",1422662400,85,20
"277850",1418688000,93,16
"362010",1428019200,100,2
"362030",1428969600,100,2
"362040",1428278400,0,1
"362050",1429488000,90,12
"362090",1429142400,97,72
"362280",1428537600,88,63
"362350",1431043200,76,47
"362400",1430092800,50,45
"362490",1430265600,83,480
"362500",1430438400,100,1
"290340",1421193600,91,244
"362520",1430438400,100,1
"362590",1430438400,100,1
"362610",1432512000,60,5
"362620",1430092800,94,115
"362630",1430870400,100,3
"362660",1429574400,66,9
"290530",1414627200,75,37
"362710",1428537600,96,29
"362780",1431043200,66,3
"362790",1431043200,100,1
"290630",1418947200,25,4
"362870",1429833600,93,44
"362890",1430784000,96,1320
"362900",1429488000,100,3
"362920",1429228800,75,4
"362940",1431907200,100,11
"290790",1421193600,74,1009
"290830",1420502400,50,202
"290930",1427241600,87,1168
"22140",1417737600,60,53
"363030",1429228800,60,5
"363031",1429228800,80,5
