"appid","query_date","bundles"
"348030","2015-05-21",
"348040","2015-03-09",
"348070","2015-03-06",
"348090","2015-02-05",
"348091","2015-02-05",
"348100","2015-02-05",
"348110","2015-02-09",
"348160","2015-03-26",
"348180","2015-03-12",
"348200","2015-04-07",
"348270","2015-02-25",
"348290","2015-03-25",
"348300","2015-04-17",
"348310","2015-02-05",
"348320","2015-02-18",
"348330","2015-02-10",
"348350","2015-05-22",
"348370","2015-05-13",
"348380","2015-02-04",
"348400","2015-03-25",
"348430","2015-05-08",
"348440","2015-05-08",
"348450","2015-02-09",
"348530","2015-03-23",
"348550","2015-05-22",
"348560","2015-02-07",
"348561","2015-02-18",
"348610","2015-02-06",
"348620","2015-03-26",
"348650","2015-02-06",
"348670","2015-03-12",
"348680","2015-02-27",
"348681","2015-03-10",
"348682","2015-04-21",
"348683","2015-04-21",
"348684","2015-04-07",
"348685","2015-04-07",
"348686","2015-03-24",
"348687","2015-05-05",
"348690","2015-02-13",
"348700","2015-03-18",
"348730","2015-04-24",
"348750","2015-02-24",
"348760","2015-02-21",
"348790","2015-02-11",
"348840","2015-05-22",
"348850","2015-02-24",
"348860","2015-02-20",
"348870","2015-02-11",
"348920","2015-02-13",
"348960","2015-02-23",
"348970","2015-02-26",
"348980","2015-02-16",
"348990","2015-03-20",
"276810","2014-11-17",
"361020","2015-05-11",
"361060","2015-04-06",
"361070","2015-05-04",
"361110","2015-04-20",
"361170","2015-04-03",
"361171","2015-04-03",
"361172","2015-04-03",
"361173","2015-04-03",
"361180","2015-04-02",
"361181","2015-04-02",
"361182","2015-04-02",
"361183","2015-04-02",
"361190","2015-04-21",
"361220","2015-05-08",
"361280","2015-05-26",
"361310","2015-04-02",
"361312","2015-04-03",
"361313","2015-04-03",
"361314","2015-04-02",
"361320","2015-04-17",
"361330","2015-04-21",
"361350","2015-05-11",
"361380","2015-04-09",
"361430","2015-04-22",
"361440","2015-04-07",
"361470","2015-05-01",
"361480","2015-04-30",
"361481","2015-04-30",
"361482","2015-04-30",
"361483","2015-04-30",
"361484","2015-04-30",
"361485","2015-04-30",
"361520","2015-04-24",
"361540","2015-05-06",
"361541","2015-05-06",
"361542","2015-05-06",
"361620","2015-05-21",
"361630","2015-04-10",
"361660","2015-04-07",
"361670","2015-04-28",
"361690","2015-04-28",
"361700","2015-04-07",
"361800","2015-04-28",
"361820","2015-05-03",
"361830","2015-04-15",
"361850","2015-05-25",
"361870","2015-04-03",
"361970","2015-05-07",
"361990","2015-04-10",
"349000","2015-05-13",
"349050","2015-03-09",
"349060","2015-02-19",
"349080","2015-02-06",
"349130","2015-02-24",
"349190","2015-04-29",
"349210","2015-02-11",
"349240","2015-02-27",
"349260","2015-02-17",
"349280","2015-05-21",
"349300","2015-04-03",
"349310","2015-02-13",
"349320","2015-03-31",
"349330","2015-02-20",
"349331","2015-02-20",
"349350","2015-04-02",
"349370","2015-02-11",
"349440","2015-04-07",
"349450","2015-02-09",
"349460","2015-04-20",
"349480","2015-02-26",
"349500","2015-02-25",
"349530","2015-02-25",
"349540","2015-02-17",
"349550","2015-02-25",
"349560","2015-02-17",
"349620","2015-02-19",
"349660","2015-03-03",
"349670","2015-04-01",
"349690","2015-03-03",
"349740","2015-03-09",
"349750","2015-02-19",
"349770","2015-04-16",
"349780","2015-02-20",
"349800","2015-04-16",
"349810","2015-05-12",
"349820","2015-02-11",
"349830","2015-04-30",
"277680","2014-12-11",
"277730","2015-01-22",
"277739","2014-12-05",
"277740","2014-11-06",
"277742","2015-01-19",
"277749","2015-04-22",
"277752","2014-12-18",
"277753","2014-12-10",
"277754","2014-12-12",
"277755","2015-01-30",
"277756","2015-02-26",
"277757","2015-02-26",
"277758","2015-03-12",
"277759","2015-02-06",
"349930","2015-02-27",
"277760","2015-02-12",
"349931","2015-02-27",
"349932","2015-02-27",
"277762","2015-03-05",
"349933","2015-02-27",
"277763","2015-03-26",
"349934","2015-02-27",
"277764","2015-04-29",
"349935","2015-02-27",
"277765","2015-04-02",
"349936","2015-02-27",
"349937","2015-02-27",
"277767","2015-02-27",
"349938","2015-02-27",
"277768","2015-03-19",
"349939","2015-02-27",
"277769","2015-04-16",
"349940","2015-02-27",
"277770","2015-05-06",
"349941","2015-02-27",
"277771","2015-05-14",
"349950","2015-02-12",
"349960","2015-02-19",
"349970","2015-02-12",
"349980","2015-04-30",
"277821","2015-01-31",
"277850","2014-12-16",
"362010","2015-04-03",
"362030","2015-04-14",
"362040","2015-04-06",
"362050","2015-04-20",
"362090","2015-04-16",
"362100","2015-04-10",
"362130","2015-04-17",
"362140","2015-04-22",
"362170","2015-04-07",
"362280","2015-04-09",
"362320","2015-04-16",
"362350","2015-05-08",
"362400","2015-04-27",
"362420","2015-04-13",
"362460","2015-04-21",
"362490","2015-04-29",
"290300","2015-05-08",
"362500","2015-05-01",
"290340","2015-01-14",
"362520","2015-05-01",
"362530","2015-05-01",
"362540","2015-05-01",
"362550","2015-05-01",
"362560","2015-05-01",
"362570","2015-05-01",
"362580","2015-05-01",
"362590","2015-05-01",
"362610","2015-05-25",
"362620","2015-04-27",
"362630","2015-05-06",
"362640","2015-05-06",
"362641","2015-05-06",
"362660","2015-04-21",
"362700","2015-04-17",
"290530","2014-10-30",
"362710","2015-04-09",
"362740","2015-05-11",
"362760","2015-05-02",
"362780","2015-05-08",
"362790","2015-05-08",
"290630","2014-12-19",
"362820","2015-05-01",
"362830","2015-04-21",
"362850","2015-05-26",
"362860","2015-05-22",
"362870","2015-04-24",
"362890","2015-05-05",
"362900","2015-04-20",
"362920","2015-04-17",
"362940","2015-05-18",
"362950","2015-04-15",
"290790","2015-01-14",
"290830","2015-01-06",
"290930","2015-03-25",
"278100","2015-02-23",
"22140","2014-12-05",
"363000","2015-04-28",
"363020","2015-04-15",
"363030","2015-04-17",
"363031","2015-04-17",
"363050","2015-04-24",
"363060","2015-04-24",
"363070","2015-04-24",
"363200","2015-05-04",
"363220","2015-04-15",
"363260","2015-04-28",
"363261","2015-04-28",
"363320","2015-04-28",
"363330","2015-04-17",
"363340","2015-04-22",
"291170","2014-11-11",
"363410","2015-05-20",
"363430","2015-05-15",
"363460","2015-04-21",
"363480","2015-04-17",
"363490","2015-04-14",
"363500","2015-05-12",
"363550","2015-05-06",
"363570","2015-04-14",
"363620","2015-04-18",
"363630","2015-05-19",
"291470","2015-02-06",
"363660","2015-04-17",
"363690","2015-04-15",
"363740","2015-04-27",
"363770","2015-05-26",
"363781","2015-05-26",
"363790","2015-05-05",
"363800","2015-04-28",
"363810","2015-05-12",
"363830","2015-05-09",
"363900","2015-04-16",
"363920","2015-04-20",
"363970","2015-05-14",
"279440","2014-11-21",
"279720","2015-03-04",
"279740","2015-04-02",
"279800","2015-03-23",
"364100","2015-05-21",
"364130","2015-05-21",
"364170","2015-04-17",
"364180","2015-04-16",
"364240","2015-04-20",
"364270","2015-04-29",
"292114","2015-01-21",
"292116","2014-11-20",
"292117","2014-11-20",
"292118","2014-11-20",
"292119","2014-11-20",
"364300","2015-05-11",
"292140","2014-11-11",
"364320","2015-05-21",
"364360","2015-04-22",
"364370","2015-04-23",
"364380","2015-04-24",
"364400","2015-04-22",
"364410","2015-04-17",
"364450","2015-04-20",
"364480","2015-05-14",
"364660","2015-04-17",
"364710","2015-04-22",
"364750","2015-05-11",
"364770","2015-04-20",
"364790","2015-05-18",
"364800","2015-05-08",
"364810","2015-05-08",
"364890","2015-04-23",
"364900","2015-04-30",
"364920","2015-04-20",
"292750","2014-11-30",
"364930","2015-04-25",
"364940","2015-04-22",
"364970","2015-05-01",
"365000","2015-04-20",
"365020","2015-05-15",
"365030","2015-04-18",
"365031","2015-04-17",
"365032","2015-04-17",
"365033","2015-04-17",
"365050","2015-04-20",
"365070","2015-04-21",
"365080","2015-05-11",
"365110","2015-04-21",
"365140","2015-05-22",
"365170","2015-04-23",
"365190","2015-05-13",
"208750","2014-11-12",
"365210","2015-05-01",
"365220","2015-05-01",
"365270","2015-04-21",
"365280","2015-05-04",
"365290","2015-04-23",
"293140","2015-01-24",
"365320","2015-05-22",
"365330","2015-04-24",
"365340","2015-04-27",
"365360","2015-04-21",
"293220","2015-05-14",
"365400","2015-05-06",
"365420","2015-04-28",
"365430","2015-04-23",
"293280","2015-02-02",
"365460","2015-05-26",
"365470","2015-05-12",
"365490","2015-04-22",
"365500","2015-04-30",
"293340","2014-11-20",
"365520","2015-05-20",
"365530","2015-05-19",
"365540","2015-05-20",
"365580","2015-05-04",
"293440","2014-11-05",
"365620","2015-05-05",
"365630","2015-04-21",
"293480","2014-11-14",
"365670","2015-04-24",
"293520","2015-05-14",
"293560","2014-10-31",
"365760","2015-05-19",
"365840","2015-05-14",
"365860","2015-05-20",
"365870","2015-05-11",
"293760","2015-03-12",
"366060","2015-05-21",
"366080","2015-04-23",
"366140","2015-04-23",
"366190","2015-05-01",
"366210","2015-05-26",
"294060","2015-02-10",
"366290","2015-04-28",
"294160","2014-12-03",
"366410","2015-05-25",
"366420","2015-04-23",
"366430","2015-04-23",
"366460","2015-05-04",
"366530","2015-04-30",
"366590","2015-04-30",
"366610","2015-04-24",
"366650","2015-05-06",
"366660","2015-05-21",
"366670","2015-05-04",
"366700","2015-04-24",
"366710","2015-05-13",
"366730","2015-05-22",
"366740","2015-05-22",
"366800","2015-04-30",
"366820","2015-05-07",
"366843","2015-04-27",
"366890","2015-05-21",
"366900","2015-04-30",
"366990","2015-04-30",
"294810","2014-11-18",
"294860","2014-10-30",
"222180","2015-03-10",
"222420","2014-11-27",
"222440","2015-01-30",
"222621","2014-12-12",
"222631","2014-11-20",
"222633","2015-04-09",
"222638","2014-11-13",
"222804","2015-03-24",
"222805","2015-03-24",
"222806","2015-03-24",
"222807","2015-03-24",
"367000","2015-05-12",
"367030","2015-05-08",
"367040","2015-04-27",
"367060","2015-05-01",
"367090","2015-05-01",
"367110","2015-05-15",
"367150","2015-04-28",
"367180","2015-05-12",
"367190","2015-05-01",
"295040","2014-10-30",
"295041","2014-11-04",
"295042","2014-11-04",
"295043","2014-11-04",
"295044","2014-11-04",
"295045","2014-11-11",
"295046","2014-11-11",
"295047","2014-11-11",
"295048","2014-11-11",
"295049","2014-11-11",
"367220","2015-05-12",
"295050","2014-11-11",
"295051","2014-11-25",
"295052","2014-11-25",
"295053","2014-11-25",
"295054","2014-11-25",
"295055","2014-11-25",
"295056","2014-11-25",
"295057","2014-12-03",
"295058","2014-12-03",
"295059","2014-12-03",
"295060","2014-12-03",
"295061","2014-12-03",
"295062","2014-12-03",
"295063","2014-12-10",
"295064","2014-12-10",
"295065","2014-12-09",
"295066","2014-12-10",
"295067","2014-12-09",
"295068","2014-12-10",
"295069","2014-12-09",
"295070","2014-12-16",
"295071","2014-12-16",
"295072","2014-12-16",
"295073","2014-12-16",
"295074","2014-12-16",
"295075","2014-12-16",
"295076","2014-12-16",
"295077","2014-12-16",
"295078","2014-12-16",
"295079","2014-12-16",
"367250","2015-04-30",
"295080","2014-12-16",
"295081","2014-12-16",
"295082","2014-12-16",
"295083","2014-12-16",
"295084","2014-12-16",
"295085","2014-12-16",
"295086","2014-12-16",
"295087","2015-01-06",
"295088","2015-01-06",
"295089","2015-01-06",
"367260","2015-04-28",
"295090","2015-01-06",
"295091","2015-01-06",
"295092","2015-01-06",
"295093","2015-01-06",
"295094","2015-01-13",
"295095","2015-01-13",
"295096","2015-01-13",
"295097","2015-01-13",
"295098","2015-01-13",
"295099","2015-01-13",
"367280","2015-04-28",
"367290","2015-05-04",
"295110","2015-01-10",
"367300","2015-05-22",
"295162","2015-01-28",
"295173","2015-02-13",
"295174","2015-02-13",
"295177","2015-01-21",
"295178","2015-01-21",
"295181","2015-02-05",
"295182","2015-02-05",
"295183","2015-02-17",
"295184","2015-02-17",
"295188","2015-02-24",
"295190","2014-11-10",
"295191","2015-04-22",
"367380","2015-05-04",
"367480","2015-04-29",
"295330","2014-11-04",
"367640","2015-05-12",
"367660","2015-05-05",
"367670","2015-05-04",
"295560","2014-12-04",
"295590","2015-03-19",
"367810","2015-04-30",
"367840","2015-05-26",
"367850","2015-05-07",
"223100","2015-03-13",
"368140","2015-05-25",
"368190","2015-05-06",
"296030","2014-12-31",
"368220","2015-05-12",
"368250","2015-05-05",
"368290","2015-05-18",
"368320","2015-05-20",
"368340","2015-05-15",
"368350","2015-05-12",
"368360","2015-05-06",
"368370","2015-05-25",
"368400","2015-05-12",
"368401","2015-05-12",
"368410","2015-05-07",
"368440","2015-05-14",
"296270","2015-03-25",
"296280","2015-01-30",
"368470","2015-05-22",
"296300","2015-05-08",
"368500","2015-05-12",
"368510","2015-05-09",
"368550","2015-05-06",
"368610","2015-05-22",
"368650","2015-05-08",
"296490","2015-04-30",
"368700","2015-05-15",
"368820","2015-05-08",
"368840","2015-05-13",
"368870","2015-05-07",
"368880","2015-05-15",
"296710","2015-01-23",
"368900","2015-05-11",
"368910","2015-05-13",
"368920","2015-05-13",
"368950","2015-05-12",
"368990","2015-05-11",
"296830","2015-01-26",
"369000","2015-05-11",
"369100","2015-05-15",
"369120","2015-05-06",
"369130","2015-05-25",
"369131","2015-05-25",
"297000","2015-01-06",
"369210","2015-05-07",
"297070","2015-01-22",
"369290","2015-05-25",
"369340","2015-05-08",
"369350","2015-05-12",
"369370","2015-05-15",
"369410","2015-05-19",
"369430","2015-05-16",
"369450","2015-05-07",
"369470","2015-05-08",
"369490","2015-05-12",
"297310","2014-11-17",
"369500","2015-05-14",
"369501","2015-05-21",
"369520","2015-05-15",
"297390","2014-11-25",
"369610","2015-05-25",
"369620","2015-05-21",
"369640","2015-05-12",
"297470","2014-12-23",
"369650","2015-05-22",
"369660","2015-05-22",
"369670","2015-05-22",
"369700","2015-05-19",
"297650","2014-12-16",
"369860","2015-05-14",
"369890","2015-05-25",
"297831","2014-11-13",
"297842","2014-12-12",
"297920","2015-03-12",
"225270","2015-01-07",
"41046","2015-04-11",
"225540","2014-11-11",
"310031","2014-10-30",
"310032","2014-10-30",
"310033","2014-10-30",
"310034","2014-10-30",
"310040","2014-11-18",
"310050","2014-11-18",
"310060","2015-03-09",
"298160","2014-10-31",
"310100","2014-10-31",
"310360","2014-12-05",
"310370","2014-12-30",
"310380","2014-11-07",
"310460","2014-12-04",
"298560","2015-01-13",
"310560","2015-04-27",
"310580","2014-11-21",
"310640","2014-11-12",
"310660","2014-10-30",
"298790","2014-12-10",
"310740","2015-04-16",
"310790","2014-11-18",
"298850","2014-11-05",
"298880","2014-11-15",
"310810","2015-01-28",
"310850","2014-10-31",
"310880","2014-11-06",
"310890","2015-01-22",
"298930","2014-11-11",
"298950","2014-12-03",
"311160","2014-12-19",
"311161","2014-12-19",
"311162","2014-12-19",
"311163","2014-12-19",
"311164","2014-12-19",
"311210","2015-04-27",
"299350","2014-12-03",
"299360","2014-11-20",
"311400","2014-11-13",
"311490","2015-02-12",
"311560","2015-02-05",
"299680","2015-01-01",
"311690","2015-03-30",
"299740","2014-10-30",
"311700","2014-12-11",
"311730","2014-12-04",
"311840","2015-03-18",
"311950","2014-12-04",
"43190","2014-12-12",
"227520","2014-12-15",
"312060","2014-11-06",
"312230","2015-03-16",
"312240","2015-03-12",
"312270","2014-11-14",
"312310","2014-11-13",
"312370","2014-11-19",
"312400","2014-12-01",
"312420","2014-11-11",
"312430","2015-03-31",
"312440","2015-03-02",
"312450","2015-03-31",
"312520","2015-03-03",
"312530","2015-02-09",
"312540","2015-04-21",
"312600","2014-12-09",
"240460","2015-04-22",
"312710","2015-04-20",
"312780","2014-12-09",
"312790","2015-02-10",
"240620","2015-02-04",
"312840","2015-01-29",
"312930","2014-12-11",
"313010","2015-01-12",
"313120","2015-01-09",
"313370","2015-01-20",
"313371","2015-01-27",
"313372","2015-02-03",
"313373","2014-11-18",
"313374","2014-11-25",
"313375","2014-12-09",
"313380","2015-01-13",
"313381","2014-11-11",
"313660","2014-11-03",
"313680","2014-12-01",
"313690","2014-10-31",
"313800","2015-04-13",
"313810","2015-04-16",
"241680","2014-12-16",
"314010","2014-11-24",
"314150","2015-01-15",
"314160","2014-12-18",
"314220","2014-11-21",
"314300","2014-11-24",
"314410","2015-03-24",
"314450","2014-12-01",
"314520","2014-11-04",
"314530","2015-02-03",
"314560","2015-02-27",
"314590","2015-05-12",
"314660","2015-02-02",
"314710","2015-04-28",
"314830","2014-12-22",
"315050","2014-11-06",
"315060","2015-01-30",
"315080","2014-11-19",
"315130","2015-01-25",
"315320","2014-11-26",
"315330","2015-04-06",
"315392","2015-04-21",
"315393","2015-02-12",
"315394","2015-01-20",
"315395","2015-03-17",
"315396","2014-11-22",
"315397","2015-01-27",
"315450","2014-12-01",
"315460","2015-02-23",
"315660","2014-12-15",
"315840","2015-02-17",
"315880","2015-03-17",
"316070","2014-12-10",
"316080","2015-03-24",
"316160","2014-11-04",
"316240","2015-02-25",
"244160","2015-01-25",
"316390","2014-12-30",
"316410","2015-03-24",
"316430","2014-11-21",
"316590","2015-05-08",
"316610","2015-02-19",
"316790","2015-01-22",
"316920","2014-11-06",
"316930","2014-12-04",
"244770","2014-12-04",
"316960","2014-12-12",
"316962","2015-04-01",
"316963","2015-01-12",
"316967","2015-03-10",
"244910","2015-05-25",
"317040","2014-12-10",
"317100","2015-02-06",
"245177","2015-04-18",
"317400","2014-12-30",
"317460","2014-10-31",
"317461","2014-10-31",
"317462","2014-10-31",
"317530","2014-11-19",
"317620","2014-11-01",
"317750","2014-10-31",
"317770","2014-12-06",
"317790","2014-12-08",
"317820","2015-02-27",
"317840","2014-12-04",
"330000","2015-01-22",
"330030","2014-10-30",
"330070","2015-02-05",
"330110","2015-04-09",
"330130","2014-12-04",
"330160","2015-03-10",
"330180","2015-01-29",
"330210","2015-02-12",
"330230","2014-11-26",
"330240","2014-11-26",
"330260","2014-11-14",
"330270","2015-03-06",
"330350","2014-11-19",
"330360","2014-12-11",
"330361","2014-12-11",
"330362","2014-12-11",
"330363","2014-12-11",
"330370","2015-02-09",
"330420","2014-11-03",
"330450","2014-12-22",
"330460","2014-11-21",
"330470","2014-11-11",
"330491","2014-10-30",
"330510","2014-11-15",
"330511","2014-11-15",
"330520","2014-10-30",
"330570","2014-12-29",
"330580","2015-05-18",
"330620","2014-11-18",
"330630","2014-10-31",
"330631","2014-10-31",
"330650","2014-11-15",
"330660","2015-03-20",
"330670","2015-03-10",
"330680","2014-11-17",
"330690","2014-11-06",
"330700","2014-10-31",
"330710","2014-11-05",
"330720","2014-11-18",
"330730","2014-11-21",
"330750","2014-11-03",
"330760","2015-02-20",
"330770","2014-11-25",
"330800","2014-11-03",
"330810","2014-10-30",
"330830","2014-11-13",
"330840","2014-11-20",
"330860","2014-10-31",
"330990","2014-11-26",
"318020","2015-05-08",
"318060","2014-11-03",
"318072","2014-11-27",
"318073","2014-11-26",
"318077","2014-11-26",
"318130","2015-03-13",
"318230","2014-12-04",
"318260","2014-12-30",
"246110","2014-11-11",
"318300","2015-02-24",
"318330","2014-12-05",
"318340","2014-12-05",
"318390","2014-12-16",
"318410","2014-12-02",
"318411","2015-01-27",
"318412","2014-11-18",
"318414","2014-12-09",
"318420","2015-02-24",
"318480","2015-02-23",
"318490","2015-04-01",
"318520","2014-12-03",
"318560","2015-04-22",
"318591","2015-01-06",
"318650","2014-12-11",
"318690","2014-12-01",
"318790","2015-03-12",
"318791","2015-03-03",
"318792","2015-04-30",
"318850","2015-03-25",
"318860","2014-11-14",
"318870","2015-01-13",
"318871","2015-01-13",
"318872","2015-01-13",
"318873","2014-12-10",
"318874","2015-01-13",
"318875","2015-02-03",
"318970","2015-03-03",
"102220","2014-12-04",
"331000","2014-10-30",
"331060","2015-01-15",
"331061","2015-01-15",
"331062","2015-01-15",
"331063","2015-01-15",
"331064","2015-01-15",
"331065","2015-01-15",
"331066","2015-01-15",
"331067","2015-01-15",
"331068","2015-01-15",
"331069","2015-01-15",
"331070","2015-01-15",
"331071","2015-01-15",
"331072","2015-01-15",
"331103","2015-01-16",
"331104","2015-01-17",
