"appid","query_date","grade","reviews","bundles"
"200396","2014-10-29",100,3,
"200397","2014-10-29",100,1,
"200400","2014-10-29",0,0,
"200410","2014-10-29",52,67,
"200440","2014-10-29",82,23,
"200490","2014-10-29",57,64,
"200510","2014-10-29",96,21576,
"200550","2014-10-29",37,105,
"200570","2014-10-29",100,2,
"200590","2014-10-29",71,28,
"200610","2014-10-29",85,7,
"200620","2014-10-29",100,2,
"200630","2014-10-29",30,160,
"200650","2014-10-29",0,0,
"200670","2014-10-29",42,71,
"200710","2014-10-29",95,19060,
"200860","2014-10-29",100,3,
"200870","2014-10-29",100,2,
"200880","2014-10-29",100,1,
"200890","2014-10-29",0,0,
"200891","2014-10-29",85,14,
"200900","2014-10-29",97,3062,
"200910","2014-10-29",86,858,
"200940","2014-10-29",93,763,
"200960","2014-10-29",95,137,
"200980","2014-10-29",80,10,
"200990","2014-10-29",81,11,
"116100","2014-10-29",65,184,
"116120","2014-10-29",82,94,
"345000","2015-01-29",100,1,
"345010","2015-02-10",85,118,
"345030","2015-02-10",50,4,
"345050","2015-02-28",100,5,
"345060","2015-03-03",83,24,
"345080","2015-05-14",0,0,
"345090","2015-02-03",87,49,
"345120","2015-03-17",91,23,
"345130","2015-02-27",66,6,
"345140","2015-04-02",81,16,
"345150","2015-01-20",0,0,
"345170","2015-01-28",0,0,
"345180","2015-02-05",93,155,
"345200","2015-02-05",90,133,
"273030","2014-10-29",17,121,
"345220","2015-02-03",60,20,
"273070","2014-10-29",72,212,
"345280","2015-01-26",57,59,
"345290","2015-01-28",33,3,
"273110","2014-10-29",61,13063,
"345300","2015-01-28",100,1,
"273130","2014-10-29",88,90,
"345310","2015-01-28",80,5,
"273150","2014-10-29",100,4,
"273151","2014-10-29",100,7,
"273152","2014-10-29",85,7,
"273153","2014-10-29",86,23,
"345340","2015-04-28",85,7,
"345370","2015-03-19",92,109,
"273240","2014-10-29",75,81,
"273280","2014-10-29",50,3,
"273290","2014-10-29",100,1,
"345470","2015-01-28",0,0,
"273300","2014-10-29",96,331,
"345520","2015-03-06",76,1860,
"273350","2014-10-29",66,11366,
"345540","2015-02-19",75,8,
"273370","2014-10-29",0,0,
"273380","2014-10-29",67,34,
"273381","2014-10-29",82,30,
"345555","2015-04-22",0,0,
"345556","2015-04-22",0,0,
"345557","2015-04-22",0,0,
"345558","2015-04-22",0,0,
"273390","2014-10-29",95,101,
"345562","2015-04-22",0,0,
"345570","2015-02-06",100,1,
"345580","2015-02-06",36,152,
"345610","2015-05-14",0,0,
"273450","2014-10-29",76,13,
"345640","2015-02-16",58,51,
"345650","2015-01-23",90,1329,
"345660","2015-02-07",70,365,
"345670","2015-01-23",100,8,
"273500","2014-10-29",83,191,
"273520","2014-10-29",100,2,
"273521","2014-10-29",100,1,
"273522","2014-10-29",66,3,
"273523","2014-10-29",0,0,
