"appid","query_date","grade","reviews","bundles"
"347090","2015-03-16",63,137,
"347100","2015-01-29",0,0,
"347101","2015-01-29",0,0,
"347102","2015-01-29",0,0,
"347103","2015-01-29",0,0,
"347104","2015-01-29",0,0,
"347105","2015-01-29",0,0,
"347110","2015-02-11",0,0,
"347120","2015-02-24",100,1,
"347150","2015-05-12",84,38,
"347154","2015-04-22",85,21,
"347155","2015-04-16",76,88,
"347160","2015-05-12",100,18,
"347180","2015-02-09",0,0,
"347181","2015-04-30",75,8,
"347190","2015-05-06",100,9,
"347210","2015-05-06",100,9,
"347211","2015-05-06",87,8,
"347212","2015-05-07",95,23,
"347213","2015-03-23",96,105,
"347220","2015-04-20",100,3,
"347230","2015-04-01",100,2,
"347240","2015-04-01",100,1,
"347250","2015-04-01",100,2,
"347260","2015-04-01",33,3,
"347270","2015-04-01",50,2,
"347280","2015-03-21",0,0,
"347290","2015-02-28",0,0,
"275125","2015-04-09",100,1,
"275127","2015-02-24",0,0,
"275200","2015-01-29",96,235,
"347430","2015-03-02",95,24,
"347440","2015-02-24",66,36,
"347450","2015-03-27",0,0,
"347470","2015-03-30",0,0,
"347480","2015-02-03",50,6,
"347490","2015-01-29",0,0,
"347491","2015-01-29",0,0,
"347492","2015-01-29",0,0,
"347493","2015-01-29",0,0,
"347494","2015-01-29",0,0,
"347560","2015-02-03",92,27,
"347570","2015-02-12",0,0,
"347580","2015-02-12",14,14,
"347590","2015-02-16",80,5,
"347620","2015-05-25",0,0,
"347630","2015-03-23",71,39,
"347640","2015-03-20",0,0,
"347641","2015-03-20",0,0,
"347642","2015-03-20",0,0,
"347643","2015-03-20",0,0,
"347644","2015-03-20",0,0,
"347645","2015-03-20",0,0,
"347670","2015-03-11",80,140,
"347680","2015-02-20",100,2,
"347690","2015-02-02",63,11,
"347710","2015-03-26",94,36,
"347780","2015-02-03",0,0,
"347790","2015-04-03",90,11,
"347800","2015-02-28",0,0,
"275690","2014-11-11",88,181,
"347880","2015-02-03",55,350,
"347890","2015-04-15",75,76,
"347900","2015-02-03",100,2,
"347910","2015-02-21",0,0,
"347920","2015-02-09",100,1,
"347930","2015-02-04",25,8,
"347940","2015-02-04",90,54,
"347980","2015-02-24",60,5,
"347981","2015-04-15",75,4,
"347990","2015-03-04",96,235,
"360010","2015-04-27",100,3,
"360030","2015-05-25",50,2,
"360090","2015-04-07",66,3,
"360091","2015-04-07",0,1,
"360092","2015-04-07",0,0,
"360093","2015-04-07",0,0,
"360094","2015-04-07",0,0,
"360095","2015-04-07",0,0,
"360096","2015-04-07",0,0,
"360097","2015-04-07",0,0,
"360098","2015-04-07",0,0,
"360099","2015-04-07",0,0,
"360110","2015-04-07",0,0,
"360111","2015-04-07",0,0,
"360112","2015-04-07",0,0,
"360113","2015-04-07",0,0,
"360114","2015-04-07",0,1,
"360115","2015-04-07",100,1,
"360120","2015-04-07",0,0,
"360130","2015-04-08",80,10,
"360140","2015-04-23",0,0,
"360240","2015-04-09",100,1,
"360290","2015-05-16",0,0,
"360350","2015-05-19",80,5,
"360360","2015-05-15",0,0,
"360380","2015-04-23",66,12,
"360390","2015-04-02",100,10,
"360420","2015-04-07",0,0,
"360421","2015-04-07",0,0,
"360422","2015-04-07",0,0,
